0.0	37.70
1.0	37.71
2.0	37.72
3.0	37.75
4.0	37.79
5.0	37.84
6.0	37.91
7.0	37.98
8.0	38.07
9.0	38.17
10.0	38.28
11.0	38.40
12.0	38.54
13.0	38.69
14.0	38.85
15.0	39.02
16.0	39.21
17.0	39.41
18.0	39.63
19.0	39.86
20.0	40.10
21.0	40.36
22.0	40.64
23.0	40.93
24.0	41.24
25.0	41.57
26.0	41.92
27.0	42.28
28.0	42.66
29.0	43.07
30.0	43.49
31.0	43.94
32.0	44.40
33.0	44.90
34.0	45.41
35.0	45.96
36.0	46.53
37.0	47.13
38.0	47.76
39.0	48.42
40.0	49.11
41.0	49.84
42.0	50.61
43.0	51.42
44.0	52.27
45.0	53.16
46.0	54.10
47.0	55.09
48.0	56.14
49.0	57.24
50.0	58.41
51.0	59.64
52.0	60.94
53.0	62.32
54.0	63.78
55.0	65.33
56.0	66.98
57.0	68.74
58.0	70.61
59.0	72.61
60.0	74.74
61.0	77.02
62.0	79.48
63.0	82.11
64.0	84.95
65.0	88.02
66.0	91.34
67.0	94.94
68.0	98.86
69.0	103.15
70.0	107.85
71.0	113.01
72.0	118.72
73.0	125.05
74.0	132.10
75.0	140.01
76.0	148.91
77.0	159.00
78.0	170.51
79.0	183.72
80.0	198.99
81.0	216.78
82.0	237.62
83.0	262.15
84.0	291.05
85.0	324.85
86.0	363.54
87.0	405.59
88.0	446.54
89.0	478.02
90.0	490.10
91.0	478.02
92.0	446.54
93.0	405.59
94.0	363.54
95.0	324.85
96.0	291.05
97.0	262.15
98.0	237.62
99.0	216.78
100.0	198.99
101.0	183.72
102.0	170.51
103.0	159.00
104.0	148.91
105.0	140.01
106.0	132.10
107.0	125.05
108.0	118.72
109.0	113.01
110.0	107.85
111.0	103.15
112.0	98.86
113.0	94.94
114.0	91.34
115.0	88.02
116.0	84.95
117.0	82.11
118.0	79.48
119.0	77.02
120.0	74.74
